utc_time;AUT;BEL;BGR;HRV;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;NLD;NOR;POL;PRT;ROU;SVK;SVN;ESP;SWE;CHE;GBR;CYP;MLT
2015-01-03T12:00:00Z;0.162814;0.243163;0.506690;0.020064;0.540116;0.498158;0.680593;0.581982;0.549821;0.531059;0.098103;0.278404;0.064478;0.274426;0.762161;0.874041;0.334847;0.216888;0.554491;0.874890;0.013320;0.328339;0.114785;0.114187;0.133223;0.585455;0.540701;0.148402;0.041279;0.826161
2015-01-03T13:00:00Z;0.120097;0.231573;0.483465;0.020239;0.527224;0.538912;0.694180;0.582028;0.605799;0.517965;0.082679;0.262622;0.046107;0.274559;0.759788;0.845161;0.305007;0.177016;0.538773;0.866511;0.014187;0.324786;0.086725;0.098212;0.133271;0.549328;0.647770;0.160121;0.029910;0.883467
2015-01-03T14:00:00Z;0.075358;0.169545;0.458234;0.045890;0.454509;0.541701;0.702383;0.567178;0.650146;0.480541;0.070338;0.210655;0.043947;0.245592;0.744356;0.822297;0.278079;0.151976;0.526059;0.849341;0.011280;0.329581;0.047798;0.049772;0.115767;0.542536;0.687590;0.155475;0.024978;0.927632
2015-01-03T15:00:00Z;0.065042;0.137208;0.435872;0.047732;0.423456;0.539283;0.707222;0.542631;0.652390;0.449893;0.059998;0.207074;0.048078;0.250717;0.710498;0.789404;0.294848;0.149403;0.524627;0.834239;0.011400;0.299189;0.096121;0.038670;0.105290;0.517521;0.616062;0.146891;0.029529;0.965512
2015-01-03T16:00:00Z;0.053233;0.215053;0.403417;0.056755;0.395485;0.539980;0.710600;0.521143;0.641842;0.429402;0.055557;0.177274;0.049848;0.280982;0.684903;0.764953;0.461822;0.164799;0.527886;0.815267;0.018796;0.291182;0.120191;0.029343;0.111035;0.500720;0.598080;0.143100;0.035162;0.987982
2015-01-03T17:00:00Z;0.042589;0.241024;0.360857;0.063966;0.355056;0.534161;0.711622;0.501626;0.612188;0.417229;0.055817;0.146229;0.044297;0.316166;0.674588;0.746428;0.662107;0.197987;0.554419;0.790624;0.028079;0.287877;0.119268;0.029637;0.115105;0.493393;0.637098;0.136240;0.035696;0.994971
2015-01-03T18:00:00Z;0.025055;0.234764;0.272080;0.075564;0.324344;0.506076;0.717775;0.485101;0.578793;0.361505;0.055296;0.061579;0.031088;0.372254;0.613566;0.700100;0.807330;0.236954;0.562913;0.731955;0.056176;0.244459;0.077913;0.032439;0.123179;0.529124;0.677624;0.128009;0.057849;0.988257
2015-01-03T19:00:00Z;0.017162;0.109520;0.250006;0.079152;0.262437;0.516142;0.711649;0.490351;0.522118;0.386069;0.045844;0.051077;0.031158;0.425331;0.629372;0.665888;0.611016;0.345924;0.584761;0.701784;0.059569;0.258800;0.039047;0.034081;0.121781;0.520631;0.741718;0.118441;0.070517;0.995452
2015-01-03T20:00:00Z;0.010555;0.057898;0.265328;0.092410;0.238813;0.503830;0.702614;0.494572;0.415861;0.413711;0.037965;0.041107;0.042333;0.445999;0.631079;0.602994;0.298628;0.355568;0.597386;0.678409;0.070948;0.298460;0.011829;0.048865;0.119807;0.534386;0.774192;0.112661;0.073310;0.996209
2015-01-03T21:00:00Z;0.016220;0.067250;0.189641;0.107350;0.308971;0.501798;0.698087;0.476824;0.320923;0.429773;0.043498;0.049364;0.043298;0.420928;0.639381;0.577140;0.263235;0.334485;0.588145;0.690287;0.091628;0.283854;0.010753;0.077367;0.119141;0.555783;0.825544;0.106038;0.049905;0.998892
2015-01-03T22:00:00Z;0.021508;0.079169;0.165050;0.126575;0.357999;0.500812;0.695051;0.459592;0.254980;0.444196;0.059613;0.043318;0.058781;0.409881;0.660696;0.582560;0.229823;0.327021;0.581882;0.701165;0.110453;0.268021;0.015780;0.098212;0.117241;0.567216;0.826146;0.097616;0.035254;1.000000
2015-01-03T23:00:00Z;0.047644;0.096171;0.161277;0.129920;0.444451;0.503667;0.693522;0.439580;0.207296;0.457468;0.080223;0.045770;0.074460;0.401896;0.692247;0.610211;0.240672;0.334366;0.572921;0.708559;0.120575;0.244411;0.024362;0.095955;0.115124;0.568574;0.734622;0.085668;0.023582;1.000000
2015-01-04T00:00:00Z;0.160811;0.099146;0.165227;0.108531;0.513777;0.519633;0.707357;0.421569;0.187709;0.447706;0.150088;0.134542;0.085757;0.476494;0.727230;0.593602;0.320659;0.292517;0.556536;0.712809;0.114794;0.155789;0.082982;0.073012;0.138731;0.565343;0.656782;0.079439;0.004756;1.000000
2015-01-04T01:00:00Z;0.464207;0.082678;0.154557;0.075526;0.584807;0.542326;0.712312;0.415810;0.165146;0.489408;0.176691;0.436877;0.079855;0.446289;0.737203;0.647848;0.317056;0.313043;0.573383;0.708043;0.119244;0.149157;0.281901;0.039039;0.130904;0.562289;0.626219;0.082173;0.010065;1.000000
2015-01-04T02:00:00Z;0.645759;0.079473;0.162568;0.034401;0.607520;0.554434;0.710111;0.405117;0.141632;0.498516;0.193145;0.708117;0.076594;0.414211;0.731201;0.683246;0.274249;0.333141;0.589067;0.719461;0.121580;0.147559;0.398345;0.029049;0.127857;0.575744;0.417985;0.087299;0.012617;1.000000
2015-01-04T03:00:00Z;0.772181;0.078907;0.162428;0.013941;0.621475;0.525286;0.698519;0.388734;0.128991;0.496103;0.216269;0.741964;0.080779;0.376331;0.746240;0.694134;0.216838;0.297066;0.589741;0.711935;0.120102;0.120951;0.687236;0.018245;0.121856;0.579734;0.327386;0.092597;0.012550;1.000000
2015-01-04T04:00:00Z;0.828447;0.082462;0.181819;0.005681;0.637658;0.508592;0.682234;0.377146;0.118087;0.489416;0.243849;0.795264;0.087527;0.351396;0.760807;0.710205;0.197994;0.273344;0.591943;0.712586;0.120721;0.105270;0.807117;0.012550;0.117713;0.584549;0.294895;0.102149;0.012440;1.000000
2015-01-04T05:00:00Z;0.848923;0.083018;0.203235;0.016355;0.649365;0.509324;0.661472;0.371621;0.106226;0.477333;0.267700;0.837558;0.099061;0.330796;0.776711;0.733063;0.166912;0.262912;0.593411;0.720812;0.124050;0.095239;0.817892;0.016145;0.114937;0.587974;0.265516;0.118063;0.010463;1.000000
2015-01-04T06:00:00Z;0.880711;0.127063;0.215269;0.022966;0.625466;0.543278;0.658282;0.359936;0.097397;0.429700;0.299603;0.853642;0.075792;0.333494;0.785161;0.771144;0.255299;0.201601;0.593340;0.718003;0.152925;0.099052;0.744325;0.064321;0.118335;0.612184;0.276413;0.118217;0.035768;1.000000
2015-01-04T07:00:00Z;0.886802;0.107790;0.188732;0.115166;0.654021;0.543612;0.667024;0.368091;0.097353;0.470379;0.323120;0.890576;0.098217;0.333022;0.789917;0.798264;0.298032;0.218877;0.594686;0.746786;0.156542;0.149193;0.776472;0.047547;0.117218;0.614853;0.261448;0.135637;0.029719;1.000000
