,lon,lat,distance,rho_wind,rho_radiation
1276,-5.1,56.7,1003.3045544413859,0.10200036707585779,0.7929660771243271
1277,-5.1,57.3,1059.790296217935,0.0800775146867105,0.7929352049552164
1278,-5.1,57.9,1117.4121623040796,0.08281224149396613,0.8112991565139321
1279,-5.1,58.5,1176.004186950554,0.0765148128098377,0.8066039573857653
1280,-5.1,59.1,1235.4293043092632,0.0597667060950564,0.7869250353924127
1281,-5.1,59.7,1295.5737819474173,0.04882125402635032,0.7759567317271662
1282,-5.1,60.3,1356.3427693478036,0.05514530325367681,0.7766940237915942
1283,-5.1,60.9,1417.65674781672,0.05224952571718979,0.7740688062203946
1284,-5.1,61.5,1479.4486995036368,0.06285409618927539,0.7682910059863247
1285,-5.1,62.1,1541.6618460288091,0.07380777502776005,0.7707900099966537
1286,-5.1,62.7,1604.247836880273,0.07859786475618036,0.7675968074264611
1287,-5.1,63.3,1667.1652927752712,0.08591776838041844,0.7749004183289349
1288,-5.1,63.9,1730.3786295218238,0.09479642607956769,0.7798777641650898
1289,-5.1,64.5,1793.8571040872243,0.09628055560929162,0.781964794998888
1290,-5.1,65.1,1857.574037274767,0.08703210701725349,0.7814733795354217
1291,-5.1,65.7,1921.5061773056245,0.1025846856795245,0.7685044104951977
1292,-5.1,66.3,1985.6331762907355,0.12932566599392784,0.7595227384906316
1293,-5.1,66.9,2049.937157544766,0.13528127003535145,0.7547280140190367
1294,-5.1,67.5,2114.4023563292367,0.14455270414397448,0.7519564268497452
1295,-5.1,68.1,2179.0148202190535,0.14979539126412858,0.7535396183032039
1296,-5.1,68.7,2243.762158101409,0.14904026594399447,0.7548669121959551
1297,-5.1,69.3,2308.6333290195666,0.15753130917959135,0.7532448916355166
1298,-5.1,69.9,2373.618463805494,0.16326771164005918,0.7510654413858846
1299,-5.1,70.5,2438.708713810884,0.15712555409470483,0.7530684260039657
1300,-5.1,71.1,2503.896122127717,0.15208453526435936,0.7470596707940806
1301,-4.5,32.7,1888.923208847947,0.03603344725044043,0.8374206293182309
1302,-4.5,33.3,1824.9594721835426,0.006249287585291573,0.8398791526285542
1303,-4.5,33.9,1761.1752589673963,-0.0346800098468433,0.8459716285849515
1304,-4.5,34.5,1697.5915184291835,-0.026374549316414406,0.8537826652516645
1305,-4.5,35.1,1634.2324028553357,-0.04458073718541547,0.8582150777849291
1306,-4.5,35.7,1571.125882244031,-0.07888309258144471,0.854464018789288
1307,-4.5,36.3,1508.3045009559457,-0.021237519880852297,0.8597515744886219
1308,-4.5,36.9,1445.8063143556335,-0.04259711357225111,0.8586498934450933
1309,-4.5,37.5,1383.676054777937,0.04048505635202072,0.8574923143485346
1310,-4.5,38.1,1321.9665910863569,0.0373795354645556,0.8579031589776339
1311,-4.5,38.7,1260.7407657151894,0.06539476762631323,0.857344632248985
1312,-4.5,39.3,1200.0737187332986,0.05677552390899349,0.8571142042033741
1313,-4.5,39.9,1140.0558416008344,0.07520356391596061,0.8626872273383884
1314,-4.5,40.5,1080.7965452092478,0.0873101638351528,0.8658833672932295
1315,-4.5,41.1,1022.4290778579939,0.17343335126373197,0.8642794229187402
1316,-4.5,41.7,965.1166867044942,0.21729904850452514,0.8662243398093228
1317,-4.5,42.3,909.0604722505493,0.2225822315604609,0.8679801262961597
1318,-4.5,42.9,854.509317250714,0.30678881297672295,0.8535942725891879
1319,-4.5,43.5,801.7722293071519,0.14597912093276094,0.8530943831473501
1320,-4.5,44.1,751.2332196408476,0.21921633252643563,0.8671397108513567
1321,-4.5,44.7,703.3682628209683,0.3868239509148469,0.8714165817153383
1322,-4.5,45.3,658.7626382165664,0.47922442585469144,0.8760034509035929
1323,-4.5,45.9,618.1246410032603,0.5248882683935768,0.8779010798651048
1324,-4.5,46.5,582.2879954061357,0.5544164008646545,0.8814908520109205
1325,-4.5,47.1,552.1908614217249,0.5730399114323297,0.8831075300024055
1326,-4.5,47.7,528.8167952519435,0.570625603925975,0.8817364742458861
1327,-4.5,48.3,513.0881879799337,0.5650934513533055,0.881126954362925
