nm,QE
460.2,0.76481
460.46,0.76528
460.73,0.76577
460.99,0.76624
461.25,0.76671
461.51,0.76718
461.77,0.76765
462.03,0.76812
462.29,0.76859
462.56,0.76908
462.82,0.76956
463.08,0.77003
463.34,0.7705
463.6,0.77097
463.86,0.77144
464.13,0.77193
464.39,0.7724
464.65,0.77287
464.91,0.77334
465.17,0.77382
465.43,0.77429
465.7,0.77478
465.96,0.77525
466.22,0.77572
466.48,0.77619
466.74,0.77666
467,0.77713
467.26,0.7776
467.53,0.77809
467.79,0.77856
468.05,0.77904
468.31,0.77951
468.57,0.77998
468.83,0.78054
469.09,0.7811
469.36,0.78169
469.62,0.78226
469.88,0.78282
470.14,0.78339
470.4,0.78395
470.66,0.78452
470.92,0.78508
471.19,0.78567
471.45,0.78624
471.71,0.7868
471.97,0.78737
472.23,0.78793
472.49,0.7885
472.75,0.78906
473.01,0.78963
473.28,0.79022
473.54,0.79078
473.8,0.79135
474.06,0.79191
474.32,0.79248
474.58,0.79304
474.84,0.79361
475.1,0.79418
475.37,0.79476
475.63,0.79533
475.89,0.79589
476.15,0.79646
476.41,0.79703
476.67,0.79759
476.93,0.79816
477.19,0.79872
477.45,0.79929
477.72,0.79987
477.98,0.80044
478.24,0.80101
478.5,0.80157
478.76,0.80214
479.02,0.8027
479.28,0.80327
479.54,0.80383
479.8,0.8044
480.07,0.80499
480.33,0.80555
480.59,0.80612
480.85,0.80669
481.11,0.80736
481.37,0.80804
481.63,0.80872
481.89,0.8094
482.15,0.81008
482.41,0.81076
482.68,0.81146
482.94,0.81214
483.2,0.81282
483.46,0.8135
483.72,0.81418
483.98,0.81485
484.24,0.81553
484.5,0.81621
484.76,0.81689
485.02,0.81757
485.29,0.81827
485.55,0.81895
485.81,0.81963
486.07,0.82031
486.33,0.82099
486.59,0.82167
486.85,0.82235
487.11,0.82302
487.37,0.8237
487.63,0.82438
487.89,0.82506
488.15,0.82574
488.42,0.82644
488.68,0.82699
488.94,0.82748
489.2,0.82796
489.46,0.82845
489.72,0.82893
489.98,0.82942
490.24,0.8299
490.5,0.83038
490.76,0.83087
491.02,0.83135
491.28,0.83184
491.54,0.83232
491.8,0.83281
492.07,0.83331
492.33,0.8338
492.59,0.83428
492.85,0.83477
493.11,0.83525
493.37,0.83574
493.63,0.83622
493.89,0.8367
494.15,0.83719
494.41,0.83767
494.67,0.83816
494.93,0.83864
495.19,0.83913
495.45,0.83961
495.71,0.8401
495.97,0.84058
496.23,0.84107
496.5,0.84157
496.76,0.84205
497.02,0.84254
497.28,0.84302
497.54,0.84351
497.8,0.84399
498.06,0.84448
498.32,0.84496
498.58,0.84545
498.84,0.84593
