wavelength (nm),Xe arc lamp (W*m-2*nm-1)
403.64099,0.36264
403.85898,0.36676
404.07703,0.37052
404.29507,0.37468
404.51312,0.37912
404.7312,0.38372
404.94928,0.38844
405.16739,0.39296
405.3855,0.39768
405.60364,0.402
405.82178,0.40612
406.03995,0.41012
406.25812,0.41408
406.47632,0.41828
406.69452,0.42244
406.91275,0.42652
407.13098,0.43116
407.34924,0.4352
407.5675,0.43856
407.78577,0.44164
408.00409,0.44524
408.22238,0.44852
408.4407,0.4532
408.65906,0.45768
408.87741,0.46156
409.09579,0.46464
409.31418,0.46656
409.53256,0.4674
409.75098,0.46784
409.96942,0.46908
410.18787,0.4706
410.40631,0.47252
410.62479,0.47472
410.84329,0.47564
411.0618,0.4768
411.2803,0.47824
411.49884,0.47892
411.71741,0.47924
411.93594,0.47924
412.15454,0.4794
412.37314,0.47804
412.59174,0.47652
412.81036,0.47396
413.02899,0.47124
413.24765,0.46876
413.46631,0.46668
413.685,0.46556
413.90369,0.46496
414.12241,0.46364
414.34113,0.46168
414.55988,0.45896
414.77863,0.45632
414.99741,0.45408
415.21619,0.4536
415.435,0.45456
415.65381,0.45612
415.87265,0.45744
416.09149,0.45896
416.31036,0.46028
416.52924,0.46076
416.74811,0.46172
416.96701,0.46248
417.18594,0.46272
417.40488,0.46296
417.62381,0.4638
417.84277,0.46456
418.06177,0.46384
418.28076,0.46316
418.49976,0.46264
418.71878,0.46208
418.93781,0.46208
419.15686,0.46216
419.37595,0.46172
419.59503,0.46052
419.81412,0.45724
420.03323,0.45332
420.25235,0.45
420.4715,0.44672
420.69064,0.44384
420.90982,0.44188
421.129,0.44036
421.34821,0.43912
421.56741,0.43796
421.78662,0.43704
422.00589,0.43556
422.22513,0.43444
422.4444,0.43444
422.6637,0.43448
422.883,0.43452
423.10233,0.43508
423.32166,0.43572
423.54099,0.4364
423.76035,0.43724
423.97971,0.43724
424.1991,0.438
424.41852,0.43848
424.63794,0.43912
424.85736,0.44076
425.07681,0.44292
425.29626,0.44496
425.51575,0.44648
425.73523,0.44728
425.95474,0.44876
426.17426,0.44976
426.3938,0.45072
426.61334,0.45156
426.83292,0.45312
427.05249,0.45496
427.27209,0.45752
427.4917,0.4596
427.71133,0.46188
427.93097,0.46324
428.1506,0.465
428.37027,0.46644
428.58997,0.46756
428.80966,0.4688
429.02936,0.47072
429.24908,0.47268
429.46881,0.47512
429.68857,0.4768
429.90836,0.47852
430.12811,0.48128
430.34793,0.48312
430.56775,0.48596
430.78757,0.48924
431.00742,0.49264
431.22726,0.49568
431.44711,0.49828
431.66702,0.50076
431.8869,0.50488
432.10681,0.5104
432.32675,0.51536
432.54669,0.51912
432.76666,0.52396
432.98663,0.52944
433.2066,0.53476
433.42661,0.53912
433.64664,0.54288
433.86664,0.54632
434.0867,0.55112
434.30676,0.55644
434.52682,0.56072
434.74692,0.56536
434.96701,0.57012
435.18713,0.57484
435.40726,0.57976
435.62741,0.58428
435.84756,0.58764
436.06775,0.58944
436.28793,0.58968
436.50812,0.58844
436.72833,0.5876
436.94858,0.58804
437.16882,0.58916
437.38907,0.58996
437.60934,0.59112
437.82965,0.59156
438.04996,0.59144
438.27026,0.59124
438.4906,0.58956
438.71094,0.5878
438.9313,0.58776
439.15167,0.58796
439.37207,0.5866
439.59247,0.58484
439.8129,0.58316
440.03333,0.58128
440.25375,0.57996
440.47424,0.57976
440.6947,0.5794
440.91519,0.57852
441.13571,0.5788
441.35623,0.58036
441.57675,0.58132
441.7973,0.58092
442.01785,0.57988
442.23843,0.57928
442.45901,0.57864
442.67963,0.57696
442.90024,0.5752
443.12088,0.57284
443.34152,0.56928
443.56219,0.56736
443.78287,0.56752
444.00357,0.56704
444.22427,0.56488
444.44498,0.56232
444.66571,0.55988
444.88647,0.55776
445.10724,0.5554
445.328,0.55292
445.5488,0.54984
445.76959,0.54676
445.99042,0.54612
446.21124,0.55128
446.4321,0.56216
446.65295,0.5724
446.87384,0.58088
447.09473,0.58812
447.31564,0.59304
447.53656,0.5962
447.75748,0.59836
447.97842,0.59796
448.1994,0.59672
448.42038,0.59804
448.64136,0.60296
448.86237,0.61096
449.08337,0.61784
449.30441,0.62328
449.52545,0.62744
449.74652,0.63088
449.96759,0.63316
450.18869,0.6334
450.40979,0.63132
450.63092,0.62496
450.85205,0.61268
451.07318,0.60116
451.29434,0.59252
451.51553,0.586
451.73669,0.58304
451.95792,0.58188
452.17914,0.58144
452.40036,0.58212
452.62161,0.58288
452.84287,0.58248
453.06415,0.57952
453.28543,0.57572
453.50671,0.57404
453.72806,0.57448
453.94937,0.57728
454.17072,0.58116
454.39209,0.58592
454.61346,0.59132
454.83484,0.59588
455.05624,0.59964
455.27765,0.6036
455.49908,0.60764
455.72052,0.61024
455.94199,0.61352
456.16345,0.61592
456.38495,0.6176
456.60645,0.61984
456.82794,0.62264
457.04947,0.62548
457.27103,0.62856
457.49258,0.632
457.71414,0.63432
457.93573,0.63764
458.15732,0.64212
458.37894,0.64808
458.60056,0.6562
458.8222,0.66592
459.04385,0.67632
459.26553,0.6872
459.48721,0.69712
459.70892,0.70576
459.93063,0.7146
460.15234,0.7228
460.37408,0.72952
460.59583,0.73564
460.8176,0.74232
461.03937,0.74812
461.26117,0.75292
461.48297,0.7564
461.7048,0.75908
461.92664,0.76088
462.1485,0.76388
462.37036,0.76704
462.59222,0.77012
462.81412,0.7722
463.03604,0.77552
463.25797,0.78416
463.47989,0.79888
463.70184,0.81752
463.9238,0.8378
464.14578,0.8588
464.36777,0.87752
464.58978,0.89248
464.8118,0.906
465.03381,0.91896
465.25586,0.93116
465.47794,0.94264
465.70001,0.95408
465.92209,0.96408
466.1442,0.97352
466.3663,0.98312
466.58844,0.9912
466.81058,0.9968
467.03275,0.99948
467.25491,0.9998
467.47711,0.99596
467.69931,0.98392
467.92151,0.96396
468.14374,0.94024
