wavelength (nm),W halogen lamp (W*m-2*nm-1)
838,0.993939334
839,0.995547003
840,0.99567211
841,0.993073611
842,0.992839019
843,0.995276105
844,0.993206241
845,0.994991196
846,0.994571231
847,0.998812338
848,0.99557806
849,0.996607844
850,0.9959973
851,0.997921788
852,0.998546834
853,0.994239315
854,0.993326733
855,0.998365143
856,0.995991595
857,0.994369114
858,0.995640951
859,0.995643537
860,0.997842909
861,0.997783347
862,0.996519418
863,0.994421443
864,0.998982029
865,0.995296822
866,0.996718649
867,0.997268185
868,0.998087069
869,0.997336189
870,0.998006535
871,0.997367684
872,0.998646426
873,0.993874936
874,0.995578481
875,0.993628242
876,0.99527225
877,0.99484762
878,0.99607912
879,0.994003178
880,0.993261889
881,0.99149127
882,0.991868224
883,0.992317414
884,0.987044923
885,0.993618672
886,0.992034844
887,0.992580855
888,0.991191529
889,0.992772055
890,0.989567615
891,0.993996387
892,0.989403647
893,0.990716337
894,0.992833561
895,0.997144982
896,0.992514001
897,0.996388995
898,0.993418533
899,0.995418205
900,0.994247939
901,0.994537449
902,0.995874161
903,0.999098045
904,1
905,0.996354742
906,0.995857101
907,0.991329779
908,0.993684735
909,0.99540042
910,0.99836165
911,0.995617784
912,0.996024162
913,0.994801063
914,0.994839841
915,0.99688134
916,0.994679073
917,0.996419006
918,0.996295501
919,0.995229038
920,0.992243462
921,0.994723358
922,0.99065844
923,0.994255752
924,0.99192627
925,0.995730964
926,0.994606037
927,0.99007284
928,0.99383741
929,0.989489713
930,0.994269118
931,0.99294889
932,0.989419919
933,0.988892789
934,0.991591945
935,0.985373054
936,0.989449378
937,0.992476872
938,0.991758398
939,0.993144686
940,0.983205776
941,0.986247441
942,0.985020016
943,0.983796532
944,0.988719949
945,0.983290309
946,0.98101931
947,0.985636206
948,0.98491981
949,0.983943752
950,0.985790815
951,0.976721046
952,0.981763125
953,0.987733773
954,0.980305377
955,0.974174436
956,0.979374778
957,0.977335874
958,0.974058626
959,0.974925215
960,0.975139384
961,0.972353469
962,0.973720269
963,0.974848152
964,0.973459438
965,0.973970001
966,0.97389556
967,0.968388689
968,0.968160731
969,0.949289799
970,0.972112702
971,0.968748689
972,0.964144656
973,0.966749697
974,0.962583902
975,0.965879787
976,0.964462436
977,0.95861944
978,0.96288088
979,0.957898399
980,0.961079222
981,0.955271192
982,0.953903112
983,0.953554932
984,0.94979151
985,0.944612695
986,0.947490697
987,0.945501001
988,0.953112433
989,0.953395215
990,0.955681436
991,0.924326256
992,0.938241279
993,0.957201759
994,0.959673956
995,0.956080442
996,0.957003648
997,0.960022954
998,0.958576847
999,0.95172453
1000,0.944833339
1001,0.942071918
1002,0.94165772
1003,0.940524393
1004,0.938389376
1005,0.937330175
1006,0.938296973
1007,0.938840698
1008,0.93631124
1009,0.932585362
1010,0.932406234
1011,0.937368994
1012,0.942439458
1013,0.942585266
1014,0.939289192
1015,0.937068465
1016,0.937298439
1017,0.936477574
1018,0.931648256
1019,0.925211559
1020,0.921295769
1021,0.920109583
1022,0.917334717
1023,0.910165925
1024,0.902835273
1025,0.900994135
1026,0.904295787
1027,0.907213452
1028,0.906111282
1029,0.903267717
1030,0.901746009
1031,0.901505756
1032,0.900524846
1033,0.89803831
1034,0.895965034
1035,0.896087471
1036,0.896496103
1037,0.893586835
1038,0.886384736
1039,0.877955264
1040,0.871135021
1041,0.86563664
1042,0.860146986
1043,0.854452841
1044,0.849585484
1045,0.846196423
1046,0.843203531
1047,0.839214462
1048,0.834717459
1049,0.831773878
1050,0.831489537
1051,0.832204193
1052,0.831947699
1053,0.830522841
1054,0.828821746
1055,0.827413783
1056,0.826197607
1057,0.824983378
1058,0.82351064
1059,0.821492665
1060,0.818900639
1061,0.816077343
1062,0.813369077
1063,0.810993141
1064,0.809117885
1065,0.80770765
1066,0.806511309
1067,0.805328323
1068,0.804174944
1069,0.803121235
1070,0.802321482
1071,0.801994279
1072,0.802093737
1073,0.801907092
1074,0.800746177
1075,0.799153775
1076,0.79835355
1077,0.798753491
1078,0.799284431
1079,0.798934635
1080,0.798068014
1081,0.797587044
1082,0.797929656
1083,0.798930005
1084,0.800345586
1085,0.801770374
1086,0.802764305
1087,0.803129648
1088,0.802896371
1089,0.802240189
1090,0.801760745
1091,0.802087008
1092,0.803194782
1093,0.804616678
1094,0.805818456
1095,0.806139091
1096,0.805051679
1097,0.803249217
1098,0.8020026
1099,0.80180179
1100,0.801925677
1101,0.801602472
1102,0.800348969
1103,0.797796967
1104,0.794052182
1105,0.789744937
1106,0.785482546
1107,0.781685388
1108,0.778697354
1109,0.776342186
1110,0.774029937
1111,0.771441296
1112,0.768980154
1113,0.767110959
1114,0.765771875
1115,0.764605309
1116,0.763470083
1117,0.762619415
1118,0.762263232
1119,0.762068977
1120,0.761500754
1121,0.760442628
1122,0.759313532
1123,0.758408241
1124,0.757332794
1125,0.755566321
1126,0.753745645
1127,0.753555236
1128,0.755826373
1129,0.758773476
1130,0.760312386
1131,0.760426494
1132,0.760420539
1133,0.761018941
1134,0.761727538
1135,0.761992955
1136,0.76190961
1137,0.761855445
1138,0.761923782
1139,0.761802638
1140,0.761228745
1141,0.760326611
1142,0.759331609
1143,0.758314266
1144,0.757180679
1145,0.75586249
1146,0.754397988
1147,0.752848448
1148,0.751291571
1149,0.749816134
1150,0.748416938
