,lon,lat,distance,ro_wind,ro_radiation
11107,6.9,41.7,1299.6689008965384,0.08445791109792887,0.8567478458113885
11108,6.9,42.0,1268.4637412468414,0.08974399386235658,0.8555133691648416
11109,6.9,42.3,1237.3658070636131,0.08909288305058183,0.8537817618619254
11110,6.9,42.6,1206.3835344892589,0.08050273295072974,0.8526504752364568
11111,6.9,42.9,1175.5262168742222,0.0698606790313097,0.8507176328114946
11112,6.9,43.2,1144.8041109430164,0.05925296304028603,0.8488790452467555
11113,6.9,43.5,1114.2285581449917,0.04243702494139479,0.8448928680689367
11114,6.9,43.8,1083.8121235657966,0.039404621983808286,0.8372447588055854
11115,6.9,44.1,1053.5687551522226,0.07748070420273047,0.8322476625983787
11116,6.9,44.4,1023.5139664296912,0.10250138786554394,0.8322145993462889
11117,6.9,44.7,993.665046368384,0.17130194974814128,0.8299545887533524
11118,6.9,45.0,964.0413005759699,0.1801866196992002,0.8347477899983641
11119,6.9,45.3,934.6643285500738,0.18640629782707374,0.8401694042660635
11120,6.9,45.6,905.5583422874904,0.12152758059802853,0.8417982580618039
11121,6.9,45.9,876.7505320763034,0.13526575415655195,0.8375985052505138
11122,6.9,46.2,848.2714857193323,0.2051811814286612,0.8386071183483819
11123,6.9,46.5,820.1556676379248,0.2200947711593819,0.8378726918375483
11124,6.9,46.8,792.4419641061916,0.22950571677201503,0.8363912305948943
11125,6.9,47.1,765.174300001632,0.2578855149331318,0.8320874610788455
11126,6.9,47.4,738.4023305391732,0.24937411331026418,0.8287007172859092
11127,6.9,47.7,712.1822079289192,0.24357712505450457,0.8308145338698918
11128,6.9,48.0,686.5774170023016,0.2959145497716041,0.8291937903113931
11129,6.9,48.3,661.6596645835044,0.3306934286183311,0.8315062003107994
11130,6.9,48.6,637.5097934962946,0.3543243594454709,0.8334607792327244
11131,6.9,48.9,614.2186721805998,0.37135757188462204,0.8350173475509096
11132,6.9,49.2,591.8879836132099,0.380467316220362,0.8353234199596464
11133,6.9,49.5,570.6308018343002,0.3992868698506272,0.8351335871466551
11134,6.9,49.8,550.5718016393105,0.42708442234901567,0.8394580953278062
11135,6.9,50.1,531.846900622224,0.4599809420209862,0.842770563128661
11136,6.9,50.4,514.6020913162747,0.4883177925069362,0.8500815789235879
11137,6.9,50.7,498.9911999182385,0.4993523910152491,0.8559397046514136
11138,6.9,51.0,485.1723294454147,0.4927037524825668,0.8594269927908881
11139,6.9,51.3,473.3028358241297,0.47964203434210123,0.8655248928169738
11140,6.9,51.6,463.5328672939821,0.49679925420065757,0.8666249916792989
11141,6.9,51.9,455.99777220568785,0.5137988797402795,0.8701060502046037
11142,6.9,52.2,450.8100108600125,0.5281146012178691,0.8702350435508458
11143,6.9,52.5,448.05150899285803,0.5429888690806722,0.8689190204190897
11144,6.9,52.8,447.76754709394623,0.5593130755710217,0.8667836106138981
11145,6.9,53.1,449.96318813546713,0.5721296497458475,0.8654832794375098
11146,6.9,53.4,454.60287826126887,0.5933605156645869,0.8670470597928187
11147,6.9,53.7,461.61329316567253,0.5985823843786854,0.864958004646417
11148,6.9,54.0,470.8889180773703,0.588479332556516,0.8637062529117313
11149,6.9,54.3,482.29942316500205,0.5789427603374317,0.861375455025709
11150,6.9,54.6,495.6977370496974,0.5692149025509505,0.8592540804801461
11151,6.9,54.9,510.9278257583685,0.5581658770469118,0.8571943189419007
